Country,Ease,Cost,Access,Category,totalareakm2,csptwh,pvtwh,wind20twh,totaltwh,twhperkm2,population2017,twhperperson
Zimbabwe,161,2958,38,sub,390649,11874,15684,12137,39695,0.101612957,16529904,0.002401405
Sao Tome and Principe,162,420,65,sub,nodata,nodata,nodata,nodata,nodata,nodata,204327,nodata
Guinea,163,6636,34,sub,244871,467,5204,2,5673,0.0231673,12717176,0.00044609
Gabon,164,1102,91,sub,264715,6,5402,0,5408,0.020429519,2025137,0.002670437
Iraq,165,469,100,non,nodata,nodata,nodata,nodata,nodata,nodata,38274618,nodata
Cameroon,166,1597,60,sub,466295,3706,10105,979,14790,0.031718118,24053727,0.000614874
Madagascar,167,5699,23,sub,591575,3194,4987,2617,10798,0.018252969,25570895,0.000422277
Sudan,168,2687,39,sub,2503827,77422,87817,61661,226900,0.090621277,40533330,0.005597862
Nigeria,169,440,59,sub,909481,10045,32456,12867,55368,0.060878677,190886311,0.000290057
Myanmar,170,1270,57,non,nodata,nodata,nodata,nodata,nodata,nodata,53370609,nodata
Djibouti,171,6380,52,non,21679,852,947,934,2733,0.1260667,956985,0.002855844
Guinea-Bissau,172,1520,15,sub,33974,906,1493,124,2523,0.074262671,1861283,0.001355517
Syrian Arab Republic,173,312,100,non,nodata,nodata,nodata,nodata,nodata,nodata,18269868,nodata
Liberia,174,4067,20,sub,95877,0,667,0,667,0.00695683,4731906,0.000140958
Timor-Leste,175,1218,63,non,nodata,nodata,nodata,nodata,nodata,nodata,1296311,nodata
Bangladesh,176,2865,76,non,nodata,nodata,nodata,nodata,nodata,nodata,164669751,nodata
"Congo, Rep.",177,5469,57,sub,341574,2,6778,0,6780,0.019849286,5260750,0.00128879
Equatorial Guinea,178,1085,68,sub,26987,0,706,0,706,0.026160744,1267689,0.000556919
"Yemen, Rep.",179,0,72,non,nodata,nodata,nodata,nodata,nodata,nodata,28250420,nodata
Chad,180,8527,9,sub,1269961,10284,10506,9165,29955,0.023587339,14899994,0.002010403
Haiti,181,3709,39,non,nodata,nodata,nodata,nodata,nodata,nodata,10981229,nodata
Angola,182,1197,41,sub,1247357,9786,13319,202,23307,0.018685108,29784193,0.000782529
Afghanistan,183,2275,84,non,nodata,nodata,nodata,nodata,nodata,nodata,35530081,nodata
"Congo, Dem. Rep.",184,15264,17,sub,2327986,12439,22862,2173,37474,0.016097176,81339988,0.000460708
Central African Republic,185,15810,14,sub,620200,3471,5284,79,8834,0.014243792,4659080,0.001896082
South Sudan,186,0,9,sub,nodata,nodata,nodata,nodata,nodata,nodata,12575714,nodata
"Venezuela, RB",187,18867,100,non,nodata,nodata,nodata,nodata,nodata,nodata,31977065,nodata
Libya,188,442,99,non,1616869,11823,13979,21649,47451,0.029347461,6374616,0.007443742
Eritrea,189,0,47,sub,122098,4349,4775,3154,12278,0.100558568,0,nodata
Somalia,190,0,30,sub,633217,13156,25687,43539,82382,0.13010074,14742523,0.005588053
